ANO4,TRIMESTRE,AGLOMERADO,gini,p90,p10,ratio_p90_p10
2020,1er Trimestre,Neuquen - Plottier,0.4216471869337397,55000,7246.670000000002,7.5896929210244135
2020,1er Trimestre,S. del Estero - La Banda,0.40058980307037473,23750,4160,5.709134615384615
2020,1er Trimestre,Jujuy - Palpala,0.38721895231964254,30000,4295.368,6.984267704187394
2020,1er Trimestre,Rio Gallegos,0.3960560690373427,54666.67,7880,6.937394670050761
2020,1er Trimestre,Gran Catamarca,0.39755265646471116,30000,4500,6.666666666666667
2020,1er Trimestre,Salta,0.4553450601165423,30500,4000,7.625
2020,1er Trimestre,La Rioja,0.3394468851686838,28000,5050,5.544554455445544
2020,1er Trimestre,San Luis - El Chorrillo,0.38346365982167185,30666.67,5000,6.133334
2020,1er Trimestre,Gran San Juan,0.37720668079350617,30900.00000000009,5000,6.180000000000018
2020,1er Trimestre,Gran Tucuman - T. Viejo,0.4011627513117446,28500,4322.22,6.593833724336105
2020,1er Trimestre,Santa Rosa - Toay,0.5099878615348246,48000,5000,9.6
2020,1er Trimestre,Ushuaia - Rio Grande,0.4114695412423828,40000,5214.29,7.671226571594599
2020,1er Trimestre,Ciudad de Buenos Aires,0.5307702876795872,72500,10000,7.25
2020,1er Trimestre,Partidos del GBA,0.4311214840890898,35800,4250,8.423529411764706
2020,1er Trimestre,Mar del Plata - Batan,0.4159839325473058,43000,6166.67,6.972969203800431
2020,1er Trimestre,Rio Cuarto,0.41999864731988623,42000,6000,7
2020,1er Trimestre,San Nicolas - Villa Constitucion,0.3817703022519936,35000,5487.5,6.378132118451025
2020,1er Trimestre,Rawson - Trelew,0.5181284244656297,55899.99999999998,5205,10.739673390970216
2020,1er Trimestre,Viedma - Carmen de Patagones.,0.38142822237119844,37500,5500,6.818181818181818
2019,4to Trimestre,Gran La Plata,0.4141392989394319,35850,3750,9.56
2019,4to Trimestre,Bahia Blanca - Cerri,0.380490842111044,30500,4958.133000000001,6.151509045844473
2019,4to Trimestre,Gran Rosario,0.40394389485430793,27500,4000,6.875
2019,4to Trimestre,Gran Santa Fe,0.37624216081923123,27000,4000,6.75
2019,4to Trimestre,Gran Parana,0.3650873047240566,27500,4960,5.544354838709677
2019,4to Trimestre,Posadas,0.3825000433620289,22333.33,3260.8,6.84903397939156
2019,4to Trimestre,Gran Resistencia,0.4515083120197687,22933.33,2875,7.976810434782609
2019,4to Trimestre,Cdro. Rivadavia - R.Tilly,0.42330739104590975,40000,5914.287000000001,6.763283553875555
2019,4to Trimestre,Gran Mendoza,0.42982757556700335,30000,3880,7.731958762886598
2019,4to Trimestre,Corrientes,0.4511822283128595,26000,4000,6.5
2019,4to Trimestre,Gran Cordoba,0.40271986796699366,30000,4600,6.521739130434782
2019,4to Trimestre,Concordia,0.3982362273771969,23333.33,3775,6.1810145695364245
2019,4to Trimestre,Formosa,0.3703826430948993,21000,3875,5.419354838709677
2019,4to Trimestre,Neuquen - Plottier,0.40518009301689517,40766.67000000002,6000,6.794445000000003
2019,4to Trimestre,S. del Estero - La Banda,0.387760734371966,21000,3666.67,5.72726752066589
2019,4to Trimestre,Jujuy - Palpala,0.3918926686745863,22383.330999999995,3764.9400000000014,5.945202579589578
2019,4to Trimestre,Rio Gallegos,0.3814160926460488,41825.000000000015,6000,6.970833333333336
2019,4to Trimestre,Gran Catamarca,0.3886690340103769,22142.86,3666.67,6.03895632822152
2019,4to Trimestre,Salta,0.43304546035744806,23000,3500,6.571428571428571
2019,4to Trimestre,La Rioja,0.3383223708171954,19500,4125,4.7272727272727275
2019,4to Trimestre,San Luis - El Chorrillo,0.3666776300876222,28500,4600,6.195652173913044
2019,4to Trimestre,Gran San Juan,0.3598568246570153,25000,4642.86,5.384612071007957
2019,4to Trimestre,Gran Tucuman - T. Viejo,0.41606663335340954,25000,3981.25,6.279434850863423
2019,4to Trimestre,Santa Rosa - Toay,0.4651769278405027,41600.00000000014,4000,10.400000000000034
2019,4to Trimestre,Ushuaia - Rio Grande,0.4292207382964648,40666.67,6633.33,6.130656849576306
2019,4to Trimestre,Ciudad de Buenos Aires,0.39331475172303954,51500,8550,6.023391812865497
2019,4to Trimestre,Partidos del GBA,0.43793392810198384,30000,3071.43,9.767437317471016
2019,4to Trimestre,Mar del Plata - Batan,0.4300689177308641,42000,4550,9.23076923076923
2019,4to Trimestre,Rio Cuarto,0.4495519411207738,35300.000000000065,5000,7.060000000000013
2019,4to Trimestre,San Nicolas - Villa Constitucion,0.3951499218621848,30000,4000,7.5
2019,4to Trimestre,Rawson - Trelew,0.46478508100145177,43000,4250,10.117647058823529
2019,4to Trimestre,Viedma - Carmen de Patagones.,0.38551807023208085,31425.00000000003,4250,7.39411764705883
2019,3er Trimestre,Gran La Plata,0.4165588938611222,35000,4500,7.777777777777778
2019,3er Trimestre,Bahia Blanca - Cerri,0.3985383882498752,32100.000000000022,4800,6.687500000000004
2019,3er Trimestre,Gran Rosario,0.42233343853609995,30000,3925,7.643312101910828
2019,3er Trimestre,Gran Santa Fe,0.383359013400991,29900,4160,7.1875
2019,3er Trimestre,Gran Parana,0.4267328963101136,32600.000000000022,4666.67,6.985709295921936
2019,3er Trimestre,Posadas,0.39184414044095206,22800,3365.6000000000013,6.774423579748037
2019,3er Trimestre,Cdro. Rivadavia - R.Tilly,0.41579615827600946,39500,4750,8.31578947368421
2019,3er Trimestre,Gran Mendoza,0.4228203947377551,28000,3500,8
2019,3er Trimestre,Corrientes,0.41690241473287415,23333.33,3228.57,7.227140808469384
2019,3er Trimestre,Gran Cordoba,0.4230371238874113,32500,4166.67,7.799993760004992
2019,3er Trimestre,Concordia,0.4057033211816474,22880,3057.14,7.484119144036583
2019,3er Trimestre,Formosa,0.4349079513071956,23250,3333.33,6.975006975006975
2019,3er Trimestre,Neuquen - Plottier,0.4039780198756091,40899.99999999998,5623,7.273697314600743
2019,3er Trimestre,S. del Estero - La Banda,0.3422516157554014,18733.33,4000,4.683332500000001
2019,3er Trimestre,Jujuy - Palpala,0.4166701321860842,25000,4040,6.188118811881188
2019,3er Trimestre,Rio Gallegos,0.37015017788414184,39612.50299999998,6400,6.189453593749997
2019,3er Trimestre,Gran Catamarca,0.41663908176190034,22500,3160.0020000000004,7.1202486580704685
2019,3er Trimestre,Salta,0.4457423928483877,25333.33,3281.745,7.719469367668726
2019,3er Trimestre,La Rioja,0.3343275017799101,20000,4114.29,4.8611060474589785
2019,3er Trimestre,San Luis - El Chorrillo,0.371318407368733,27833.33,4164,6.684277137367916
2019,3er Trimestre,Gran San Juan,0.39332842645512756,25593.334,3750,6.824889066666667
